{'loss': 2.5274, 'grad_norm': 1.3477870225906372, 'learning_rate': 4.952659625083262e-05, 'epoch': 0.03}
{'loss': 1.2251, 'grad_norm': 1.4938092231750488, 'learning_rate': 4.143829098867638e-05, 'epoch': 0.51}
{'loss': 1.2294, 'grad_norm': 1.8967182636260986, 'learning_rate': 4.09625083261966e-05, 'epoch': 0.54}
{'loss': 1.204, 'grad_norm': 1.4980976581573486, 'learning_rate': 4.048672566371682e-05, 'epoch': 0.57}
{'loss': 1.1782, 'grad_norm': 1.2368403673171997, 'learning_rate': 4.001094300123704e-05, 'epoch': 0.6}
{'loss': 1.166, 'grad_norm': 1.1219807863235474, 'learning_rate': 3.953516033875726e-05, 'epoch': 0.63}
{'loss': 1.179, 'grad_norm': 1.3913878202438354, 'learning_rate': 3.905937767627748e-05, 'epoch': 0.66}
{'loss': 1.1541, 'grad_norm': 1.5059622526168823, 'learning_rate': 3.85835950137977e-05, 'epoch': 0.69}
{'loss': 1.1558, 'grad_norm': 1.440116286277771, 'learning_rate': 3.810781235131792e-05, 'epoch': 0.71}
{'loss': 1.1596, 'grad_norm': 1.2381056547164917, 'learning_rate': 3.763202968883814e-05, 'epoch': 0.74}
{'loss': 1.1389, 'grad_norm': 1.046295166015625, 'learning_rate': 3.715624702635836e-05, 'epoch': 0.77}
{'loss': 1.1492, 'grad_norm': 1.503037691116333, 'learning_rate': 3.668046436387858e-05, 'epoch': 0.8}
{'loss': 1.1227, 'grad_norm': 1.153343677520752, 'learning_rate': 3.62046817013988e-05, 'epoch': 0.83}
{'loss': 1.1088, 'grad_norm': 1.339495062828064, 'learning_rate': 3.572889903891902e-05, 'epoch': 0.86}
{'loss': 1.1129, 'grad_norm': 1.396576166152954, 'learning_rate': 3.525311637643924e-05, 'epoch': 0.88}
{'loss': 1.1045, 'grad_norm': 1.3811479806900024, 'learning_rate': 3.4777333713959464e-05, 'epoch': 0.91}
{'loss': 1.077, 'grad_norm': 1.660966396331787, 'learning_rate': 3.4301551051479684e-05, 'epoch': 0.94}
{'loss': 1.0678, 'grad_norm': 1.5489295721054077, 'learning_rate': 3.3825768388999904e-05, 'epoch': 0.97}
{'loss': 1.1072, 'grad_norm': 1.379076361656189, 'learning_rate': 3.3349985726520125e-05, 'epoch': 1.0}
{'loss': 1.0594, 'grad_norm': 1.1284846067428589, 'learning_rate': 3.2874203064040345e-05, 'epoch': 1.03}
{'loss': 1.0522, 'grad_norm': 1.4677079916000366, 'learning_rate': 3.239842040156057e-05, 'epoch': 1.06}
{'loss': 1.0814, 'grad_norm': 2.2685139179229736, 'learning_rate': 3.192263773908079e-05, 'epoch': 1.08}
{'loss': 1.058, 'grad_norm': 1.2923163175582886, 'learning_rate': 3.1446855076601014e-05, 'epoch': 1.11}
{'loss': 1.0678, 'grad_norm': 1.1143428087234497, 'learning_rate': 3.0971072414121234e-05, 'epoch': 1.14}
{'loss': 1.0355, 'grad_norm': 1.6706454753875732, 'learning_rate': 3.0495289751641455e-05, 'epoch': 1.17}
{'loss': 1.0397, 'grad_norm': 1.725329875946045, 'learning_rate': 3.0019507089161675e-05, 'epoch': 1.2}
{'loss': 1.0258, 'grad_norm': 1.4175087213516235, 'learning_rate': 2.9543724426681895e-05, 'epoch': 1.23}
{'loss': 1.0454, 'grad_norm': 1.256199836730957, 'learning_rate': 2.9067941764202113e-05, 'epoch': 1.26}
{'loss': 1.0237, 'grad_norm': 1.470665454864502, 'learning_rate': 2.8592159101722333e-05, 'epoch': 1.28}
{'loss': 1.0338, 'grad_norm': 3.0321619510650635, 'learning_rate': 2.8116376439242553e-05, 'epoch': 1.31}
{'loss': 1.0308, 'grad_norm': 1.487152099609375, 'learning_rate': 2.7640593776762774e-05, 'epoch': 1.34}
{'loss': 1.0173, 'grad_norm': 1.2853925228118896, 'learning_rate': 2.7164811114282994e-05, 'epoch': 1.37}
{'loss': 1.0231, 'grad_norm': 1.1241862773895264, 'learning_rate': 2.6689028451803215e-05, 'epoch': 1.4}
{'loss': 1.0161, 'grad_norm': 1.1766725778579712, 'learning_rate': 2.621324578932344e-05, 'epoch': 1.43}
{'loss': 1.0039, 'grad_norm': 1.3639180660247803, 'learning_rate': 2.573746312684366e-05, 'epoch': 1.46}
{'loss': 1.0182, 'grad_norm': 1.8766238689422607, 'learning_rate': 2.526168046436388e-05, 'epoch': 1.48}
{'loss': 1.0164, 'grad_norm': 1.1236330270767212, 'learning_rate': 2.47858978018841e-05, 'epoch': 1.51}
{'loss': 1.0013, 'grad_norm': 1.075368881225586, 'learning_rate': 2.431011513940432e-05, 'epoch': 1.54}
{'loss': 0.9941, 'grad_norm': 1.0358672142028809, 'learning_rate': 2.383433247692454e-05, 'epoch': 1.57}
{'loss': 1.0047, 'grad_norm': 1.2651689052581787, 'learning_rate': 2.3358549814444765e-05, 'epoch': 1.6}
{'loss': 0.9867, 'grad_norm': 1.3377361297607422, 'learning_rate': 2.2882767151964985e-05, 'epoch': 1.63}
{'loss': 1.0055, 'grad_norm': 1.4600732326507568, 'learning_rate': 2.2406984489485206e-05, 'epoch': 1.66}
{'loss': 0.989, 'grad_norm': 1.1970789432525635, 'learning_rate': 2.1931201827005423e-05, 'epoch': 1.68}
{'loss': 0.9957, 'grad_norm': 1.2782148122787476, 'learning_rate': 2.1455419164525643e-05, 'epoch': 1.71}
{'loss': 0.9769, 'grad_norm': 1.2141193151474, 'learning_rate': 2.0979636502045867e-05, 'epoch': 1.74}
{'loss': 0.9935, 'grad_norm': 1.146801471710205, 'learning_rate': 2.0503853839566088e-05, 'epoch': 1.77}
{'loss': 0.9814, 'grad_norm': 1.4343613386154175, 'learning_rate': 2.0028071177086308e-05, 'epoch': 1.8}
{'loss': 0.9862, 'grad_norm': 1.2309855222702026, 'learning_rate': 1.955228851460653e-05, 'epoch': 1.83}
{'loss': 0.9798, 'grad_norm': 1.2537747621536255, 'learning_rate': 1.907650585212675e-05, 'epoch': 1.86}
{'loss': 0.9772, 'grad_norm': 1.13863205909729, 'learning_rate': 1.860072318964697e-05, 'epoch': 1.88}
{'loss': 0.9748, 'grad_norm': 1.6241209506988525, 'learning_rate': 1.8124940527167193e-05, 'epoch': 1.91}
{'loss': 0.9899, 'grad_norm': 1.1092828512191772, 'learning_rate': 1.7649157864687414e-05, 'epoch': 1.94}
{'loss': 0.9519, 'grad_norm': 1.1942263841629028, 'learning_rate': 1.717337520220763e-05, 'epoch': 1.97}
{'loss': 0.9824, 'grad_norm': 0.9988561868667603, 'learning_rate': 1.669759253972785e-05, 'epoch': 2.0}
{'loss': 0.9693, 'grad_norm': 1.279109239578247, 'learning_rate': 1.6221809877248072e-05, 'epoch': 2.03}
{'loss': 0.9712, 'grad_norm': 1.0770063400268555, 'learning_rate': 1.5746027214768296e-05, 'epoch': 2.06}
{'loss': 0.948, 'grad_norm': 1.006130337715149, 'learning_rate': 1.5270244552288516e-05, 'epoch': 2.08}
{'loss': 0.9698, 'grad_norm': 1.0498450994491577, 'learning_rate': 1.4794461889808737e-05, 'epoch': 2.11}
{'loss': 0.9792, 'grad_norm': 1.8816733360290527, 'learning_rate': 1.4318679227328957e-05, 'epoch': 2.14}
{'loss': 0.9725, 'grad_norm': 1.2728161811828613, 'learning_rate': 1.3842896564849178e-05, 'epoch': 2.17}
{'loss': 0.9695, 'grad_norm': 1.1535429954528809, 'learning_rate': 1.33671139023694e-05, 'epoch': 2.2}
{'loss': 0.9688, 'grad_norm': 1.1332793235778809, 'learning_rate': 1.289133123988962e-05, 'epoch': 2.23}
{'loss': 0.9602, 'grad_norm': 1.2635804414749146, 'learning_rate': 1.241554857740984e-05, 'epoch': 2.26}
{'loss': 0.9661, 'grad_norm': 1.2821043729782104, 'learning_rate': 1.1939765914930061e-05, 'epoch': 2.28}
{'loss': 0.949, 'grad_norm': 1.4334603548049927, 'learning_rate': 1.1463983252450282e-05, 'epoch': 2.31}
{'loss': 0.9329, 'grad_norm': 0.9933844208717346, 'learning_rate': 1.0988200589970502e-05, 'epoch': 2.34}
{'loss': 0.9356, 'grad_norm': 2.969038248062134, 'learning_rate': 1.0512417927490722e-05, 'epoch': 2.37}
{'loss': 0.9581, 'grad_norm': 1.1516679525375366, 'learning_rate': 1.0036635265010943e-05, 'epoch': 2.4}
{'loss': 0.9503, 'grad_norm': 1.3146029710769653, 'learning_rate': 9.560852602531165e-06, 'epoch': 2.43}
{'loss': 0.939, 'grad_norm': 1.5379103422164917, 'learning_rate': 9.085069940051386e-06, 'epoch': 2.46}
{'loss': 0.9428, 'grad_norm': 10.536053657531738, 'learning_rate': 8.609287277571606e-06, 'epoch': 2.48}
{'loss': 0.9651, 'grad_norm': 1.336396336555481, 'learning_rate': 8.133504615091826e-06, 'epoch': 2.51}
{'loss': 0.9354, 'grad_norm': 1.030171513557434, 'learning_rate': 7.657721952612047e-06, 'epoch': 2.54}
{'loss': 0.9491, 'grad_norm': 1.1265209913253784, 'learning_rate': 7.181939290132268e-06, 'epoch': 2.57}
{'loss': 0.9284, 'grad_norm': 2.699270248413086, 'learning_rate': 6.7061566276524895e-06, 'epoch': 2.6}
{'loss': 0.941, 'grad_norm': 1.8265070915222168, 'learning_rate': 6.230373965172709e-06, 'epoch': 2.63}
{'loss': 0.9373, 'grad_norm': 1.1236377954483032, 'learning_rate': 5.75459130269293e-06, 'epoch': 2.65}
{'loss': 0.9334, 'grad_norm': 2.33201265335083, 'learning_rate': 5.278808640213151e-06, 'epoch': 2.68}
{'loss': 0.9405, 'grad_norm': 1.1355891227722168, 'learning_rate': 4.803025977733372e-06, 'epoch': 2.71}
{'loss': 0.9429, 'grad_norm': 5.014663219451904, 'learning_rate': 4.327243315253592e-06, 'epoch': 2.74}
{'loss': 0.9297, 'grad_norm': 1.024224042892456, 'learning_rate': 3.851460652773813e-06, 'epoch': 2.77}
{'loss': 0.9624, 'grad_norm': 4.088143348693848, 'learning_rate': 3.3756779902940336e-06, 'epoch': 2.8}
{'loss': 0.9295, 'grad_norm': 1.1330584287643433, 'learning_rate': 2.8998953278142545e-06, 'epoch': 2.83}
{'loss': 0.9442, 'grad_norm': 1.1285622119903564, 'learning_rate': 2.4241126653344754e-06, 'epoch': 2.85}
{'loss': 0.9501, 'grad_norm': 0.9361273646354675, 'learning_rate': 1.948330002854696e-06, 'epoch': 2.88}
{'loss': 0.9579, 'grad_norm': 1.2138513326644897, 'learning_rate': 1.4725473403749168e-06, 'epoch': 2.91}
{'loss': 0.934, 'grad_norm': 0.9470470547676086, 'learning_rate': 9.967646778951377e-07, 'epoch': 2.94}
{'loss': 0.9345, 'grad_norm': 1.1339095830917358, 'learning_rate': 5.209820154153583e-07, 'epoch': 2.97}
{'loss': 0.9446, 'grad_norm': 1.0216525793075562, 'learning_rate': 4.519935293557903e-08, 'epoch': 3.0}
